t_unix_ns,ok,adc_raw,force_g,force_n,error
1776766114210028268,1,3,3.0,0.02941995,
1776766114309959909,1,2,2.0,0.0196133,
1776766114410009121,1,3,3.0,0.02941995,
1776766114509947162,1,0,0.0,0.0,
1776766114609982896,1,1,1.0,0.00980665,
1776766114709994745,1,2,2.0,0.0196133,
1776766114810060202,1,4,4.0,0.0392266,
1776766114909992624,1,0,0.0,0.0,
1776766115009974444,1,1,1.0,0.00980665,
1776766115109981371,1,0,0.0,0.0,
1776766115209981813,1,3,3.0,0.02941995,
1776766115309971408,1,0,0.0,0.0,
1776766115409988010,1,2,2.0,0.0196133,
1776766115509959883,1,2,2.0,0.0196133,
1776766115609994751,1,0,0.0,0.0,
1776766115709955487,1,9,9.0,0.08825985,
1776766115809963059,1,0,0.0,0.0,
1776766115909958205,1,3,3.0,0.02941995,
1776766116010011287,1,3,3.0,0.02941995,
1776766116109977608,1,3,3.0,0.02941995,
1776766116209983398,1,0,0.0,0.0,
1776766116309990460,1,1,1.0,0.00980665,
1776766116410004584,1,4,4.0,0.0392266,
1776766116510008794,1,0,0.0,0.0,
1776766116609980158,1,8,8.0,0.0784532,
1776766116709976407,1,0,0.0,0.0,
1776766116810014042,1,348,348.0,3.4127142,
1776766116910022598,1,885,885.0,8.67888525,
1776766117009990787,1,922,922.0,9.0417313,
1776766117109979210,1,899,899.0,8.81617835,
1776766117209964578,1,890,890.0,8.7279185,
1776766117309980519,1,945,945.0,9.26728425,
1776766117409987241,1,956,956.0,9.3751574,
1776766117509979688,1,957,957.0,9.38496405,
1776766117609973832,1,961,961.0,9.42419065,
1776766117709985274,1,950,950.0,9.3163175,
1776766117809997480,1,933,933.0,9.14960445,
1776766117910029224,1,937,937.0,9.18883105,
1776766118009993662,1,927,927.0,9.09076455,
1776766118109981814,1,908,908.0,8.9044382,
1776766118210023947,1,917,917.0,8.99269805,
1776766118309967607,1,936,936.0,9.1790244,
1776766118409962718,1,962,962.0,9.4339973,
1776766118509957626,1,965,965.0,9.463417250000001,
1776766118609987996,1,972,972.0,9.5320638,
1776766118709975655,1,980,980.0,9.610517,
1776766118810010455,1,985,985.0,9.65955025,
1776766118910024630,1,991,991.0,9.71839015,
1776766119009904599,1,995,995.0,9.75761675,
1776766119109971499,1,990,990.0,9.7085835,
1776766119210011629,1,984,984.0,9.6497436,
1776766119309950502,1,942,942.0,9.2378643,
1776766119409956766,1,567,567.0,5.56037055,
1776766119509962844,1,445,445.0,4.36395925,
1776766119609937483,1,81,81.0,0.79433865,
1776766119709972300,1,186,186.0,1.8240369,
1776766119810001227,1,229,229.0,2.24572285,
1776766119910062813,1,2,2.0,0.0196133,
1776766120010003010,1,240,240.0,2.353596,
1776766120109953155,1,4,4.0,0.0392266,
1776766120209933854,1,0,0.0,0.0,
1776766120309928236,1,299,299.0,2.93218835,
1776766120410012536,1,916,916.0,8.9828914,
1776766120509966483,1,956,956.0,9.3751574,
1776766120609989654,1,954,954.0,9.3555441,
1776766120710004865,1,940,940.0,9.218251,
1776766120810001708,1,935,935.0,9.16921775,
1776766120909982136,1,939,939.0,9.20844435,
1776766121009988961,1,954,954.0,9.3555441,
1776766121109982154,1,964,964.0,9.4536106,
1776766121209956098,1,960,960.0,9.414384,
1776766121309999114,1,919,919.0,9.012311350000001,
1776766121410008349,1,900,900.0,8.825985,
1776766121509987080,1,881,881.0,8.63965865,
1776766121609966065,1,844,844.0,8.2768126,
1776766121709978695,1,562,562.0,5.5113373,
1776766121809998998,1,1,1.0,0.00980665,
1776766121909944372,1,1,1.0,0.00980665,
1776766122009948532,1,0,0.0,0.0,
1776766122109973503,1,0,0.0,0.0,
1776766122209951453,1,1,1.0,0.00980665,
1776766122309994503,1,1,1.0,0.00980665,
1776766122410008881,1,591,591.0,5.79573015,
1776766122509967225,1,941,941.0,9.22805765,
1776766122609937434,1,958,958.0,9.3947707,
1776766122709982877,1,972,972.0,9.5320638,
1776766122810005268,1,982,982.0,9.6301303,
1776766122909953138,1,983,983.0,9.639936950000001,
1776766123009939626,1,985,985.0,9.65955025,
1776766123109963833,1,984,984.0,9.6497436,
1776766123209954107,1,983,983.0,9.639936950000001,
1776766123309936674,1,973,973.0,9.54187045,
1776766123409923095,1,896,896.0,8.7867584,
1776766123509921160,1,1,1.0,0.00980665,
1776766123609979504,1,0,0.0,0.0,
1776766123709938153,1,0,0.0,0.0,
1776766123809993612,1,0,0.0,0.0,
1776766123909994512,1,0,0.0,0.0,
1776766124009972360,1,0,0.0,0.0,
1776766124109938818,1,717,717.0,7.03136805,
1776766124209985551,1,937,937.0,9.18883105,
1776766124309927463,1,956,956.0,9.3751574,
1776766124409976267,1,944,944.0,9.2574776,
1776766124509939992,1,932,932.0,9.1397978,
1776766124609969546,1,927,927.0,9.09076455,
1776766124709953284,1,922,922.0,9.0417313,
1776766124809927635,1,912,912.0,8.9436648,
1776766124909986387,1,910,910.0,8.924051500000001,
1776766125009934953,1,906,906.0,8.8848249,
1776766125109922613,1,903,903.0,8.85540495,
1776766125209938163,1,899,899.0,8.81617835,
1776766125309936907,1,899,899.0,8.81617835,
1776766125409932104,1,900,900.0,8.825985,
1776766125509992706,1,920,920.0,9.022118,
1776766125609930068,1,952,952.0,9.3359308,
1776766125709974476,1,970,970.0,9.5124505,
1776766125809969095,1,974,974.0,9.551677100000001,
1776766125909971048,1,973,973.0,9.54187045,
1776766126009947996,1,969,969.0,9.50264385,
1776766126109925267,1,973,973.0,9.54187045,
1776766126209954872,1,968,968.0,9.4928372,
1776766126309966043,1,966,966.0,9.4732239,
1776766126409938951,1,942,942.0,9.2378643,
1776766126509968709,1,693,693.0,6.79600845,
1776766126609962242,1,3,3.0,0.02941995,
1776766126709982969,1,0,0.0,0.0,
1776766126809995549,1,3,3.0,0.02941995,
1776766126909965503,1,0,0.0,0.0,
1776766127009930602,1,2,2.0,0.0196133,
1776766127109988777,1,1,1.0,0.00980665,
1776766127209954403,1,0,0.0,0.0,
1776766127309986130,1,892,892.0,8.7475318,
1776766127410007231,1,940,940.0,9.218251,
1776766127509979749,1,947,947.0,9.28689755,
1776766127609931217,1,939,939.0,9.20844435,
1776766127709993687,1,944,944.0,9.2574776,
1776766127809996641,1,961,961.0,9.42419065,
1776766127910020475,1,971,971.0,9.52225715,
1776766128009977936,1,979,979.0,9.60071035,
1776766128109963932,1,976,976.0,9.5712904,
1776766128209960826,1,977,977.0,9.58109705,
1776766128309936450,1,977,977.0,9.58109705,
1776766128409991484,1,976,976.0,9.5712904,
1776766128509992707,1,975,975.0,9.56148375,
1776766128609971489,1,974,974.0,9.551677100000001,
1776766128709939491,1,973,973.0,9.54187045,
1776766128810002232,1,972,972.0,9.5320638,
1776766128910011620,1,961,961.0,9.42419065,
1776766129009973885,1,871,871.0,8.54159215,
1776766129109955433,1,263,263.0,2.57914895,
1776766129209996836,1,1,1.0,0.00980665,
1776766129309958914,1,2,2.0,0.0196133,
1776766129409968930,1,0,0.0,0.0,
1776766129509964670,1,0,0.0,0.0,
1776766129609924507,1,0,0.0,0.0,
1776766129709907414,1,236,236.0,2.3143694,
1776766129809944505,1,243,243.0,2.38301595,
1776766129909944828,1,881,881.0,8.63965865,
1776766130009928210,1,936,936.0,9.1790244,
1776766130109922762,1,944,944.0,9.2574776,
1776766130209990409,1,947,947.0,9.28689755,
1776766130309970599,1,949,949.0,9.30651085,
1776766130409954932,1,952,952.0,9.3359308,
1776766130509923342,1,953,953.0,9.34573745,
1776766130609917809,1,959,959.0,9.40457735,
1776766130709963864,1,966,966.0,9.4732239,
1776766130810020529,1,972,972.0,9.5320638,
1776766130909981810,1,958,958.0,9.3947707,
1776766131009973205,1,894,894.0,8.7671451,
1776766131109965755,1,317,317.0,3.10870805,
1776766131209956437,1,229,229.0,2.24572285,
1776766131309975553,1,1,1.0,0.00980665,
1776766131409996315,1,3,3.0,0.02941995,
1776766131509925564,1,0,0.0,0.0,
1776766131609925871,1,1,1.0,0.00980665,
1776766131709942067,1,0,0.0,0.0,
1776766131809982385,1,0,0.0,0.0,
1776766131909960302,1,3,3.0,0.02941995,
1776766132009984969,1,1,1.0,0.00980665,
1776766132109921703,1,853,853.0,8.36507245,
1776766132209937407,1,933,933.0,9.14960445,
1776766132309951159,1,942,942.0,9.2378643,
1776766132409981444,1,936,936.0,9.1790244,
1776766132509990833,1,929,929.0,9.11037785,
1776766132609955662,1,931,931.0,9.12999115,
1776766132709982400,1,930,930.0,9.1201845,
1776766132809982792,1,931,931.0,9.12999115,
1776766132909960726,1,931,931.0,9.12999115,
1776766133009962000,1,931,931.0,9.12999115,
1776766133109971254,1,931,931.0,9.12999115,
1776766133210001216,1,932,932.0,9.1397978,
1776766133309976231,1,934,934.0,9.1594111,
1776766133409954979,1,940,940.0,9.218251,
1776766133509977405,1,920,920.0,9.022118,
1776766133609924156,1,324,324.0,3.1773546,
1776766133709978240,1,0,0.0,0.0,
1776766133809938639,1,4,4.0,0.0392266,
1776766133909963628,1,0,0.0,0.0,
1776766134009923805,1,0,0.0,0.0,
1776766134109944313,1,2,2.0,0.0196133,
1776766134210016290,1,1,1.0,0.00980665,
1776766134309935269,1,2,2.0,0.0196133,
1776766134409961293,1,0,0.0,0.0,
1776766134509949361,1,1,1.0,0.00980665,
1776766134609904939,1,0,0.0,0.0,
1776766134709960093,1,0,0.0,0.0,
1776766134810001905,1,5,5.0,0.04903325,
1776766134909945056,1,10,10.0,0.0980665,
1776766135009959962,1,3,3.0,0.02941995,
1776766135109936317,1,0,0.0,0.0,
1776766135209946148,1,0,0.0,0.0,
1776766135309940429,1,1,1.0,0.00980665,
1776766135409948375,1,3,3.0,0.02941995,
1776766135509941230,1,1,1.0,0.00980665,
1776766135609921506,1,0,0.0,0.0,
1776766135709951944,1,0,0.0,0.0,
1776766135809994350,1,0,0.0,0.0,
1776766135909948111,1,0,0.0,0.0,
1776766136009981096,1,3,3.0,0.02941995,
1776766136109941885,1,0,0.0,0.0,
1776766136209943855,1,0,0.0,0.0,
1776766136309967894,1,3,3.0,0.02941995,
1776766136409994750,1,0,0.0,0.0,
1776766136509974382,1,0,0.0,0.0,
1776766136609993786,1,1,1.0,0.00980665,
1776766136709955135,1,3,3.0,0.02941995,
1776766136809973300,1,0,0.0,0.0,
