t_unix_ns,t_unix_s,device_id,page,page_hex,page_name,speed_mps,distance_m,wheel_circumference_m
1773158649788972947,1773158649.788973,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158650284140668,1773158650.2841406,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158651027493894,1773158651.027494,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158651275327415,1773158651.2753274,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158651770757519,1773158651.7707577,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158652266511805,1773158652.266512,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158652513938049,1773158652.5139382,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158652761621974,1773158652.761622,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158653257025215,1773158653.2570252,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158653504709384,1773158653.5047095,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158653752446759,1773158653.7524467,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158654000266083,1773158654.000266,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158654248125173,1773158654.248125,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158654495812457,1773158654.4958124,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158654743619544,1773158654.7436197,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158654991367257,1773158654.991367,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158655239213319,1773158655.2392132,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158655486825865,1773158655.486826,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158655982507293,1773158655.9825072,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158656230283861,1773158656.2302837,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158656973416881,1773158656.973417,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158657221412117,1773158657.2214122,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158657716549340,1773158657.7165494,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158657964454986,1773158657.964455,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158658212089195,1773158658.212089,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158658459895826,1773158658.4598958,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158658707638027,1773158658.707638,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158658955388784,1773158658.9553888,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158659203309167,1773158659.203309,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158659450869905,1773158659.45087,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158659946717970,1773158659.946718,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158660194203472,1773158660.1942034,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158660441933578,1773158660.4419336,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158660689570532,1773158660.6895707,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158661185136818,1773158661.1851368,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158661680582623,1773158661.6805828,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158661928172861,1773158661.9281728,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158662176357274,1773158662.1763573,18412,132,0x84,bike_speed,nan,620.72148,2.20114
1773158662671796098,1773158662.6717963,18412,132,0x84,bike_speed,nan,620.72148,2.20114
1773158662919619449,1773158662.9196193,18412,132,0x84,bike_speed,nan,620.72148,2.20114
1773158663167297852,1773158663.1672978,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158663414552503,1773158663.4145527,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158663662422683,1773158663.662423,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158663910256601,1773158663.9102566,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158664157896774,1773158664.1578968,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158664901534384,1773158664.9015346,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158665149298875,1773158665.149299,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158665397032460,1773158665.3970325,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158665644920329,1773158665.6449203,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158665892803347,1773158665.8928034,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158666140341287,1773158666.1403413,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158666635870336,1773158666.6358702,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158666883821962,1773158666.883822,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158667131448700,1773158667.1314485,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158667626765210,1773158667.6267653,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158667874388297,1773158667.8743882,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158668122186355,1773158668.1221862,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158669113238009,1773158669.113238,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158669361118746,1773158669.3611188,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158669608902146,1773158669.6089022,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158670104027100,1773158670.104027,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158670351810404,1773158670.3518102,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158671095680958,1773158671.095681,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158671590902045,1773158671.590902,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158672086320245,1773158672.0863202,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158673077412638,1773158673.0774126,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158674068176160,1773158674.068176,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158675059071112,1773158675.0590713,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158676050310449,1773158676.0503104,18412,133,0x85,bike_speed,nan,620.72148,2.20114
